Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
-0.13828234,0.45263582,-0.025370644,-0.4449643,0.3861484,-0.35394633,-0.18923816,-0.679636,0.36367315,0.59864885,-0.042042416,0.07210863,-0.258758,-0.18756373,-0.15941983,0.2365496,-0.43806446,-0.25793222,0.32006514,-0.5355304,-0.37316263,0.5773058,0.3138018,-0.5355411,0.30654326,-0.082958505,0.24430247,0.33485603,-0.43215963,0.27703682
0.6128697,0.16727068,0.6715795,0.34680644,0.015067911,-0.37382677,-0.21478164,-0.8920149,0.82020164,0.96379954,-0.6915064,0.42312038,-0.70985717,-0.43016055,-0.7635977,-0.33503118,-0.10194314,0.6451597,0.6855797,0.4008915,-0.54473233,0.8445458,0.71553755,-0.34588024,0.02825519,0.4276136,-0.63664794,-0.52812576,-0.43281454,0.5933217
0.09244826,0.36797202,0.58147126,0.0804459,0.39515966,0.08239797,0.6831089,-0.6322433,0.33148083,0.8807935,0.33489162,-0.22940466,-0.20265971,0.43600544,-0.23052411,0.15666921,-0.70625025,0.29005116,-0.20228747,-0.4092881,-0.08177284,0.55622387,0.53140664,0.023147332,-0.63371956,-0.6465081,0.061082564,0.09331851,-0.41931266,0.12502967
-0.16241461,-0.28389502,0.5473596,-0.8413265,0.42054465,0.448523,-0.29060054,-0.4232178,0.06296168,0.3044406,0.4191681,0.23041894,-0.5269078,-0.38206384,0.27745783,0.47619033,-0.28030533,-0.66892034,0.33071727,-0.38384125,-0.50421816,0.57383245,0.46696758,-0.51614255,-0.27670267,-0.2903332,0.16943526,0.15132497,-0.48923016,0.314387
-0.26979184,0.36968437,0.24614252,-0.23822734,0.25178424,-0.31843093,0.14828978,-0.5721051,0.21863692,0.71847516,0.6558808,0.3755413,0.41938487,0.07530969,-0.24454193,0.3057652,-0.30403313,-0.13416909,0.022073498,-0.27934113,0.5365562,0.08608063,0.3071135,-0.45033905,-0.45114607,-0.79676515,-0.03283319,0.36701488,0.09853924,0.48398322
-0.18005921,0.30946767,0.54759985,-0.1683921,0.38392022,-0.14979064,-0.20494805,-0.2097372,0.14879628,0.64966106,-0.20848423,-0.031368557,-0.3858799,0.4945382,-0.41790226,-0.2445607,-0.46706253,-0.03630558,0.35206926,-0.7255859,-0.16688421,0.60404885,0.5261592,-0.563081,-0.19285959,0.15036634,0.35883793,0.47634044,-0.16602877,-0.48826423
-0.54121286,-0.19639711,0.6714819,-0.15438332,0.7950953,0.57142913,0.055180207,-0.7622886,0.56285477,0.25489962,-0.21242821,0.36207446,-0.40558785,0.0687438,-0.25502324,-0.3329878,-0.62224823,-0.28767675,0.3322598,-0.05235987,-0.8918489,-0.10570103,0.39385322,-0.6805658,-0.4180645,-0.25577816,0.32378182,0.42918074,0.6270626,-0.51459986
0.3415737,0.18484429,0.17273699,-0.08982087,0.25569224,0.3809882,0.1796663,-0.8270589,0.61275244,0.7902307,-0.24681659,0.480888,-0.7314978,-0.23235959,-0.10033915,-0.30665714,-0.5388245,-0.32494128,0.3252865,-0.25321266,-0.34052137,0.54171073,0.07375044,-0.16309308,-0.41164264,0.26865384,-0.4271206,-0.011465929,-0.19041805,-0.0284272
0.32059416,0.14768209,0.304474,-0.008907885,0.12287644,0.57037324,0.26438624,-0.6390666,-0.091270365,0.16088821,-0.09751651,0.32572675,-0.15831576,0.2322406,-0.50394654,-0.05383482,-0.26116157,-0.6082922,-0.1266517,-0.09020287,0.196242,-0.13897356,0.25819352,-0.2965315,-0.56234777,-0.025644094,0.065083794,0.1345316,0.10220682,0.21773191
-0.1786861,0.1851086,0.34541672,0.15525669,-0.114345446,-0.25300336,-0.17029367,-0.49126452,0.41630256,0.57235026,0.18761641,0.17478393,-0.19094111,-0.099157825,-0.4305682,-0.15026933,-0.08847025,-0.19328491,0.17566842,-0.36270452,-0.30325782,0.11196777,0.4451636,-0.337116,0.06988594,0.09319792,-0.13831088,-0.2132025,0.33782265,-0.0622615
